Store,bus,carrier,e_nom_extendable,sign
ES non-sequestered HVC,ES non-sequestered HVC,non-sequestered HVC,False,1.0
FI non-sequestered HVC,FI non-sequestered HVC,non-sequestered HVC,False,1.0
FR non-sequestered HVC,FR non-sequestered HVC,non-sequestered HVC,False,1.0
GB non-sequestered HVC,GB non-sequestered HVC,non-sequestered HVC,False,1.0
GBI non-sequestered HVC,GBI non-sequestered HVC,non-sequestered HVC,False,1.0
GR non-sequestered HVC,GR non-sequestered HVC,non-sequestered HVC,False,1.0
HR non-sequestered HVC,HR non-sequestered HVC,non-sequestered HVC,False,1.0
HU non-sequestered HVC,HU non-sequestered HVC,non-sequestered HVC,False,1.0
IE non-sequestered HVC,IE non-sequestered HVC,non-sequestered HVC,False,1.0
IT non-sequestered HVC,IT non-sequestered HVC,non-sequestered HVC,False,1.0
LT non-sequestered HVC,LT non-sequestered HVC,non-sequestered HVC,False,1.0
LU non-sequestered HVC,LU non-sequestered HVC,non-sequestered HVC,False,1.0
LV non-sequestered HVC,LV non-sequestered HVC,non-sequestered HVC,False,1.0
ME non-sequestered HVC,ME non-sequestered HVC,non-sequestered HVC,False,1.0
MK non-sequestered HVC,MK non-sequestered HVC,non-sequestered HVC,False,1.0
NL non-sequestered HVC,NL non-sequestered HVC,non-sequestered HVC,False,1.0
NO non-sequestered HVC,NO non-sequestered HVC,non-sequestered HVC,False,1.0
PL non-sequestered HVC,PL non-sequestered HVC,non-sequestered HVC,False,1.0
PT non-sequestered HVC,PT non-sequestered HVC,non-sequestered HVC,False,1.0
RO non-sequestered HVC,RO non-sequestered HVC,non-sequestered HVC,False,1.0
RS non-sequestered HVC,RS non-sequestered HVC,non-sequestered HVC,False,1.0
SE non-sequestered HVC,SE non-sequestered HVC,non-sequestered HVC,False,1.0
SI non-sequestered HVC,SI non-sequestered HVC,non-sequestered HVC,False,1.0
SK non-sequestered HVC,SK non-sequestered HVC,non-sequestered HVC,False,1.0
XK non-sequestered HVC,XK non-sequestered HVC,non-sequestered HVC,False,1.0
EU coal Store,EU coal,coal,True,1.0
EU oil Store from H2,EU oil from H2,oil from H2,True,1.0
AL home battery,AL home battery,home battery,True,1.0
AT home battery,AT home battery,home battery,True,1.0
BA home battery,BA home battery,home battery,True,1.0
BE home battery,BE home battery,home battery,True,1.0
BG home battery,BG home battery,home battery,True,1.0
CH home battery,CH home battery,home battery,True,1.0
CZ home battery,CZ home battery,home battery,True,1.0
DE home battery,DE home battery,home battery,True,1.0
