Link,bus0,bus1,carrier,p_nom_extendable,bus4,bus3,bus2
gas pipeline FR -> CH,FR gas,CH gas,gas pipeline,False,,,FR
gas pipeline FR -> DE,FR gas,DE gas,gas pipeline,False,,,FR
gas pipeline FR -> ES,FR gas,ES gas,gas pipeline,False,,,FR
gas pipeline FR -> LU,FR gas,LU gas,gas pipeline,False,,,FR
gas pipeline FR <-> BE,FR gas,BE gas,gas pipeline,False,,,FR
gas pipeline FR <-> CH,FR gas,CH gas,gas pipeline,False,,,FR
gas pipeline FR <-> ES,FR gas,ES gas,gas pipeline,False,,,FR
gas pipeline GB -> GBI,GB gas,GBI gas,gas pipeline,False,,,GB
gas pipeline GB -> NL,GB gas,NL gas,gas pipeline,False,,,GB
gas pipeline GB -> NO,GB gas,NO gas,gas pipeline,False,,,GB
gas pipeline GB <-> BE,GB gas,BE gas,gas pipeline,False,,,GB
gas pipeline GR -> AL,GR gas,AL gas,gas pipeline,False,,,GR
gas pipeline GR -> BG,GR gas,BG gas,gas pipeline,False,,,GR
gas pipeline HR -> SI,HR gas,SI gas,gas pipeline,False,,,HR
gas pipeline HR <-> SI,HR gas,SI gas,gas pipeline,False,,,HR
gas pipeline HU -> HR,HU gas,HR gas,gas pipeline,False,,,HU
gas pipeline HU -> RS,HU gas,RS gas,gas pipeline,False,,,HU
gas pipeline HU <-> HR,HU gas,HR gas,gas pipeline,False,,,HU
gas pipeline HU <-> RO,HU gas,RO gas,gas pipeline,False,,,HU
gas pipeline IE -> GB,IE gas,GB gas,gas pipeline,False,,,IE
gas pipeline IT <-> AT,IT gas,AT gas,gas pipeline,False,,,IT
gas pipeline IT <-> SI,IT gas,SI gas,gas pipeline,False,,,IT
gas pipeline LT -> LV,LT gas,LV gas,gas pipeline,False,,,LT
gas pipeline LU -> BE,LU gas,BE gas,gas pipeline,False,,,LU
gas pipeline LU -> FR,LU gas,FR gas,gas pipeline,False,,,LU
gas pipeline LV -> LT,LV gas,LT gas,gas pipeline,False,,,LV
